Time Elapsed:,10726.405927181244
Box Length:,2.0
Boson Mass:,3205.706789377339
Number of bosons:,0.00015597184423005747
Particle mass(es):,4.632983923412346e-06
Variable mass:,False
Variable mass fraction,0
sigma1,4.632983923412346e-06
sigma2,0
Number of Particles:,50000
FDM Fuzziness:,0.00015597184423005747
Grid Points:,6888
Snapshot Indices:,[    0   100   200   400   800  1600  3200  6400 12800 25600 30000]
